year,km_driven,fuel,seller_type,transmission,owner,engine,max_power,seats,mileage_value,mileage_unit,selling_price
2003,50000,Petrol,Individual,Manual,2,1248,82.0,5,18.9,kmpl,70000
2012,35000,Petrol,Individual,Manual,2,796,35.0,5,14.0,kmpl,150000
2018,2388,Petrol,Individual,Manual,1,1197,81.83,5,18.6,kmpl,730000
2017,16200,Diesel,Individual,Manual,1,1248,88.5,5,24.3,kmpl,650000
2019,10000,CNG,Individual,Manual,2,796,40.3,4,33.44,km/kg,330000
2019,15000,Petrol,Individual,Manual,1,998,67.1,5,23.95,kmpl,366000
2019,5000,Petrol,Individual,Manual,1,1591,121.3,5,17.0,kmpl,1149000
2016,42000,Petrol,Individual,Manual,1,1198,67.0,5,20.63,kmpl,150000
2011,60000,Diesel,Individual,Manual,2,2179,138.03,7,13.93,kmpl,425000
2012,76000,Petrol,Individual,Manual,1,796,37.0,4,16.1,kmpl,150000
2019,5000,Petrol,Individual,Automatic,1,1368,160.77,5,16.0,kmpl,2100000
2018,28900,Petrol,Dealer,Manual,1,1497,117.3,5,17.8,kmpl,925000
2013,86300,Petrol,Dealer,Manual,1,1497,116.3,5,16.8,kmpl,425000
2018,23300,Petrol,Dealer,Automatic,1,1197,83.14,5,18.5,kmpl,675000
2018,32600,Diesel,Dealer,Manual,1,1248,88.5,5,24.3,kmpl,819999
2018,10300,Petrol,Dealer,Manual,1,998,67.05,5,23.95,kmpl,390000
2014,77000,Diesel,Dealer,Manual,1,2982,168.5,7,12.55,kmpl,1500000
2013,99000,Diesel,Dealer,Manual,1,2494,100.0,7,12.99,kmpl,700000
2014,27800,Diesel,Dealer,Automatic,2,2143,120.7,5,14.8,kmpl,1450000
2015,49800,Diesel,Dealer,Manual,1,1498,98.63,5,24.7,kmpl,425000
2013,151000,Diesel,Dealer,Manual,1,2477,175.56,7,13.5,kmpl,1090000
2015,54700,Diesel,Dealer,Manual,1,1498,98.6,5,26.0,kmpl,600000
2018,64000,Petrol,Dealer,Manual,1,1462,103.25,5,20.65,kmpl,850000
2015,63000,Diesel,Dealer,Manual,1,1498,98.6,5,27.3,kmpl,525000
2016,127700,Diesel,Dealer,Automatic,2,2755,171.5,7,11.36,kmpl,1650000
2016,99000,Diesel,Dealer,Manual,1,2494,100.6,7,12.99,kmpl,950000
2013,33900,Diesel,Dealer,Automatic,2,1968,174.33,5,17.68,kmpl,1750000
2018,25000,Petrol,Dealer,Automatic,1,1798,138.03,5,14.28,kmpl,1590000
2013,50000,Diesel,Dealer,Automatic,1,1968,187.74,5,18.53,kmpl,1689999
2013,59000,Diesel,Dealer,Automatic,1,2143,170.0,5,14.84,kmpl,1425000
2011,120000,Diesel,Individual,Manual,1,1248,88.8,5,21.12,kmpl,265000
2011,110000,Petrol,Individual,Manual,3,1197,78.9,5,20.36,kmpl,190000
2013,60000,Diesel,Individual,Manual,1,1396,88.76,5,21.27,kmpl,425000
2015,147000,Diesel,Individual,Manual,2,1248,74.0,5,26.59,kmpl,630000
2017,25000,Petrol,Individual,Manual,3,1196,86.8,5,18.16,kmpl,600000
2019,30000,Petrol,Individual,Manual,1,1197,83.1,5,21.4,kmpl,650000
2016,40000,Diesel,Individual,Manual,1,1498,108.495,5,22.0,kmpl,540000
2015,135000,Diesel,Individual,Manual,1,1498,98.6,5,25.1,kmpl,630000
2018,30000,Petrol,Individual,Automatic,1,998,67.0,5,20.51,kmpl,448000
2017,80000,Diesel,Individual,Manual,1,1498,108.62,5,21.66,kmpl,500000
2016,70000,Diesel,Individual,Manual,1,1248,88.5,5,24.3,kmpl,745000
2019,9850,Diesel,Individual,Automatic,1,1248,88.5,5,24.3,kmpl,1025000
2011,60000,Petrol,Individual,Manual,2,1197,78.9,5,20.36,kmpl,235000
2016,70000,Diesel,Individual,Manual,1,1248,74.0,5,25.2,kmpl,630000
2015,78000,Diesel,Individual,Manual,2,2982,168.5,7,12.55,kmpl,1700000
2013,120000,Diesel,Individual,Manual,2,1248,74.0,5,22.9,kmpl,450000
2012,120000,Petrol,Individual,Manual,2,1373,93.7,7,16.02,kmpl,450000
2003,70000,Diesel,Individual,Manual,1,1248,82.0,5,20.0,kmpl,50000
2013,170000,Diesel,Individual,Manual,1,1598,103.6,5,20.54,kmpl,450000
2016,140000,Diesel,Individual,Manual,1,2494,100.6,8,12.99,kmpl,1200000
2015,90000,Diesel,Individual,Manual,1,1498,98.59,5,22.77,kmpl,610000
2016,30000,Petrol,Individual,Automatic,2,1998,189.0,5,15.71,kmpl,2500000
2017,10000,Petrol,Dealer,Manual,1,998,67.04,5,23.1,kmpl,484999
2016,49000,Petrol,Dealer,Manual,1,1198,67.05,5,19.02,kmpl,275000
2016,32000,Petrol,Dealer,Manual,1,796,47.3,5,24.7,kmpl,315000
2016,38000,Petrol,Dealer,Manual,1,796,47.3,5,24.7,kmpl,275000
2015,78000,Diesel,Dealer,Manual,1,1248,82.0,5,20.0,kmpl,475000
2012,28000,Petrol,Dealer,Manual,1,1086,68.05,5,19.81,kmpl,290000
2017,32000,Petrol,Dealer,Manual,1,796,35.0,5,14.0,kmpl,280000
2010,44000,LPG,Dealer,Manual,1,998,58.2,5,26.2,km/kg,225000
2015,42000,Petrol,Dealer,Manual,1,1198,74.0,5,16.47,kmpl,455000
2015,45000,Petrol,Dealer,Manual,2,1086,68.05,5,19.81,kmpl,351000
2012,12000,Petrol,Dealer,Manual,2,1598,103.6,5,15.04,kmpl,535000
2009,55500,Petrol,Dealer,Manual,1,998,67.1,5,18.2,kmpl,175000
2013,61500,Petrol,Dealer,Manual,1,1197,82.85,5,18.5,kmpl,525000
2016,150000,Diesel,Individual,Manual,1,1248,74.0,5,26.59,kmpl,600000
2016,72000,Petrol,Dealer,Automatic,1,1197,82.0,5,19.1,kmpl,565000
2008,68000,Petrol,Dealer,Manual,3,796,46.3,5,19.7,kmpl,120000
2017,110000,Diesel,Individual,Manual,1,1396,88.73,5,22.54,kmpl,725000
2009,77000,Petrol,Dealer,Manual,2,998,67.05,5,21.79,kmpl,185000
2010,100000,Diesel,Individual,Manual,2,1248,90.0,5,18.8,kmpl,200000
2019,10000,Petrol,Individual,Manual,1,1197,81.8,5,21.21,kmpl,615000
2016,100000,Petrol,Individual,Manual,3,1196,73.0,7,15.37,kmpl,270000
2018,35000,Petrol,Individual,Manual,1,1197,83.1,5,21.4,kmpl,610000
2014,70000,Diesel,Individual,Automatic,2,2179,120.0,8,11.79,kmpl,625000
2020,5000,Petrol,Individual,Manual,2,1194,94.68,5,19.0,kmpl,400000
2017,37800,Petrol,Individual,Manual,1,1591,121.3,5,17.0,kmpl,866000
2010,114000,Petrol,Individual,Manual,1,1798,160.0,5,14.3,kmpl,700000
2010,48000,Petrol,Individual,Manual,1,1172,65.0,5,15.8,kmpl,300000
2019,32000,Diesel,Individual,Manual,1,2179,155.0,7,15.1,kmpl,1700000
2016,100000,Diesel,Individual,Manual,1,1405,69.01,5,19.09,kmpl,375000
2013,150000,Diesel,Individual,Manual,2,1582,126.32,5,22.32,kmpl,522000
2013,69000,Diesel,Individual,Manual,1,1396,88.76,5,21.9,kmpl,451999
2009,100000,Petrol,Individual,Manual,2,1798,138.1,5,14.53,kmpl,300000
2020,13000,Petrol,Individual,Manual,1,998,67.04,5,21.63,kmpl,475000
2016,60000,Diesel,Individual,Manual,1,1248,88.5,5,24.3,kmpl,780000
2017,40000,Petrol,Individual,Manual,1,1197,83.14,5,20.85,kmpl,595000
2017,35000,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,440000
2010,120000,Diesel,Individual,Manual,2,1248,82.0,5,20.0,kmpl,300000
2014,70000,Diesel,Individual,Manual,3,1461,83.8,5,20.45,kmpl,400000
2016,50000,Diesel,Individual,Manual,1,1582,126.2,5,19.67,kmpl,1140000
2017,76139,Diesel,Individual,Manual,1,1498,98.96,5,23.0,kmpl,850000
2012,175000,Diesel,Individual,Manual,4,1248,73.9,5,19.3,kmpl,370000
2018,25000,Petrol,Individual,Manual,1,999,67.0,5,23.01,kmpl,350000
2015,40000,Petrol,Individual,Manual,2,998,67.04,5,23.1,kmpl,360000
2008,65000,Petrol,Individual,Manual,4,796,46.3,5,19.7,kmpl,105000
2013,90000,Diesel,Individual,Manual,2,1248,88.76,7,20.77,kmpl,625000
2009,80000,Petrol,Individual,Manual,2,1086,62.1,5,17.92,kmpl,135000
2015,110000,Diesel,Individual,Manual,2,1248,88.76,7,20.77,kmpl,700000
2019,1303,Petrol,Dealer,Manual,1,1198,86.7,5,17.8,kmpl,690000
2018,31800,Diesel,Dealer,Automatic,1,1968,188.0,5,17.01,kmpl,3975000
2019,20000,Petrol,Dealer,Automatic,1,2487,214.56,5,22.37,kmpl,5150000
2017,45000,Diesel,Dealer,Automatic,1,1999,177.0,5,19.33,kmpl,3200000
2017,17000,Petrol,Individual,Automatic,1,3604,280.0,5,9.5,kmpl,4100000
2019,21000,Diesel,Dealer,Automatic,1,1999,148.31,7,12.83,kmpl,4500000
2017,37000,Diesel,Dealer,Automatic,1,2987,254.79,5,13.5,kmpl,6000000
2018,29500,Diesel,Dealer,Automatic,1,1995,187.74,5,22.48,kmpl,3790000
2017,27000,Diesel,Dealer,Automatic,1,1248,82.0,5,20.0,kmpl,2150000
2019,7500,Diesel,Dealer,Automatic,1,1995,190.0,5,16.78,kmpl,5800000
2018,50000,Petrol,Dealer,Automatic,1,1798,177.46,5,14.67,kmpl,1864999
2016,35000,Diesel,Dealer,Automatic,1,2143,204.0,5,15.0,kmpl,2700000
2019,19000,Petrol,Dealer,Automatic,1,1451,141.0,5,13.96,kmpl,1750000
2017,41000,Petrol,Dealer,Automatic,1,1497,117.6,5,18.0,kmpl,795000
2013,39000,Petrol,Dealer,Automatic,1,1798,138.03,5,14.28,kmpl,625000
2018,22000,Diesel,Dealer,Automatic,1,1969,190.0,5,18.0,kmpl,3400000
2015,53000,Diesel,Dealer,Automatic,1,2967,241.4,7,12.07,kmpl,2650000
2015,40000,Diesel,Dealer,Manual,1,1248,88.5,5,26.21,kmpl,535000
2017,47000,Diesel,Dealer,Automatic,1,2987,282.0,5,13.5,kmpl,5850000
2010,72200,Petrol,Dealer,Automatic,2,2497,150.0,5,10.8,kmpl,975000
2016,49900,Petrol,Dealer,Manual,1,1797,147.5,5,16.3,kmpl,805000
2017,9000,Diesel,Dealer,Automatic,1,1999,177.0,5,13.6,kmpl,2625000
2018,11000,Petrol,Dealer,Manual,1,1198,108.5,5,17.0,kmpl,811000
2011,49000,Petrol,Individual,Manual,1,1598,103.6,5,15.04,kmpl,375000
2012,95000,Petrol,Individual,Manual,1,1797,147.5,5,16.3,kmpl,550000
2016,11000,Petrol,Dealer,Automatic,1,1598,103.5,5,14.3,kmpl,645000
2018,18000,Petrol,Dealer,Automatic,1,1991,183.0,5,15.04,kmpl,2550000
2014,46100,Petrol,Dealer,Manual,1,1373,93.7,7,16.02,kmpl,599000
2017,16000,Petrol,Dealer,Automatic,1,1991,181.04,5,14.74,kmpl,2700000
2017,18000,Petrol,Dealer,Automatic,1,1497,116.3,5,15.6,kmpl,875000
2019,9654,Petrol,Dealer,Automatic,1,1197,81.8,5,19.56,kmpl,894999
2011,11000,Petrol,Dealer,Manual,1,998,67.05,5,23.95,kmpl,175000
2012,24300,Petrol,Dealer,Manual,1,1197,81.8,5,21.21,kmpl,340000
2016,42163,Diesel,Dealer,Automatic,2,2755,171.5,7,11.36,kmpl,1525000
2018,8000,Diesel,Dealer,Automatic,1,1497,108.5,5,21.5,kmpl,1025000
2016,30000,Diesel,Dealer,Automatic,1,1995,190.0,5,22.69,kmpl,2150000
2016,41000,Petrol,Dealer,Automatic,1,2494,157.7,5,19.16,kmpl,1900000
2016,12000,Diesel,Dealer,Automatic,1,1995,190.0,5,18.12,kmpl,2900000
2009,71000,Petrol,Dealer,Automatic,1,2362,164.7,5,12.1,kmpl,450000
2016,20000,Petrol,Individual,Manual,1,1373,91.1,7,17.5,kmpl,850000
2017,30000,Petrol,Individual,Automatic,1,1969,400.0,4,42.0,kmpl,10000000
2011,100000,Diesel,Individual,Manual,2,1598,103.6,5,20.54,kmpl,300000
2018,9500,Petrol,Individual,Manual,1,1196,86.8,5,18.16,kmpl,575000
2011,120000,Diesel,Individual,Manual,1,1399,68.0,5,20.0,kmpl,160000
2015,36600,Petrol,Individual,Manual,1,1197,81.8,5,20.4,kmpl,515000
2015,50000,Petrol,Individual,Automatic,2,998,67.0,5,20.51,kmpl,390000
2016,14000,Petrol,Individual,Manual,2,1197,81.83,5,18.6,kmpl,550000
1999,40000,Petrol,Individual,Manual,2,796,37.0,4,16.1,kmpl,40000
2010,120000,Diesel,Individual,Manual,1,1248,73.9,5,21.1,kmpl,220000
2015,70000,Petrol,Individual,Manual,1,1197,82.0,5,18.9,kmpl,425000
2019,13000,Petrol,Individual,Manual,1,999,75.0,5,19.44,kmpl,480000
2014,60000,Petrol,Individual,Manual,2,1197,82.0,5,18.9,kmpl,400000
2014,35000,Petrol,Individual,Manual,1,1197,85.8,5,19.1,kmpl,487000
2016,44000,Petrol,Individual,Manual,2,1197,82.0,5,19.1,kmpl,386000
2005,120000,Petrol,Individual,Manual,2,1493,100.0,5,13.0,kmpl,100000
2010,60000,Diesel,Individual,Manual,1,1364,87.2,5,21.43,kmpl,300000
2000,60000,Petrol,Individual,Manual,1,796,53.0,5,18.5,kmpl,100000
2014,30000,Diesel,Individual,Manual,2,2982,168.5,7,13.0,kmpl,1750000
2016,15000,Petrol,Individual,Manual,2,1198,82.0,6,18.15,kmpl,450000
2017,90000,Diesel,Individual,Manual,1,1248,74.0,5,22.95,kmpl,490000
2009,47000,Petrol,Individual,Manual,2,1497,118.0,5,17.0,kmpl,345000
2005,90000,Petrol,Individual,Manual,1,993,60.0,5,17.3,kmpl,85000
2010,120600,Petrol,Individual,Manual,2,998,67.1,5,18.9,kmpl,215000
2010,100000,Petrol,Individual,Manual,3,1599,103.2,5,16.2,kmpl,320000
2016,60000,Petrol,Individual,Manual,2,1197,83.14,5,20.85,kmpl,459999
2005,86000,Petrol,Individual,Manual,1,1341,83.0,5,15.3,kmpl,65000
2020,5000,Petrol,Individual,Manual,1,1197,81.86,5,18.6,kmpl,720000
2017,37000,Diesel,Individual,Manual,1,1248,88.5,5,28.09,kmpl,800000
2019,14000,Petrol,Individual,Manual,1,1199,84.0,5,20.3,kmpl,520000
2015,70000,Diesel,Individual,Manual,1,1248,88.76,7,20.77,kmpl,580000
2012,120000,Diesel,Individual,Manual,1,1248,82.0,5,20.0,kmpl,235000
2015,50000,Petrol,Individual,Manual,1,1497,117.3,5,17.4,kmpl,600000
2014,60000,Petrol,Individual,Manual,2,1198,86.8,5,19.4,kmpl,290000
2016,50000,CNG,Individual,Manual,1,998,58.16,5,26.6,km/kg,360000
2017,50000,Petrol,Individual,Manual,1,1197,83.14,5,20.85,kmpl,550000
2013,70000,Petrol,Individual,Manual,1,1197,82.85,5,18.5,kmpl,375000
2003,90000,Petrol,Individual,Manual,2,1248,82.0,5,18.9,kmpl,40000
2018,35000,Petrol,Individual,Automatic,1,998,67.0,5,20.51,kmpl,420000
2017,20000,Petrol,Individual,Manual,1,1197,81.8,5,21.21,kmpl,550000
2018,20000,Petrol,Individual,Manual,1,796,47.3,5,24.7,kmpl,270000
2018,7800,Petrol,Individual,Automatic,1,1197,81.8,5,22.0,kmpl,700000
2017,20000,Petrol,Individual,Manual,1,1197,81.8,5,20.4,kmpl,500000
2019,15000,Diesel,Individual,Manual,1,2179,147.94,7,17.6,kmpl,1250000
2013,31377,Petrol,Individual,Manual,2,1197,82.85,5,18.5,kmpl,320000
2018,50000,Diesel,Individual,Manual,1,1248,74.02,5,28.4,kmpl,700000
2015,60000,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,290000
2012,100000,Petrol,Individual,Automatic,1,1794,138.1,5,14.53,kmpl,550000
2012,60000,Petrol,Individual,Manual,1,1198,86.8,5,19.4,kmpl,265000
2018,5000,Petrol,Individual,Automatic,1,1197,83.1,5,21.4,kmpl,830000
2017,60000,Diesel,Individual,Manual,1,2179,147.94,7,14.1,kmpl,800000
2011,25000,Petrol,Individual,Manual,2,796,46.3,5,19.7,kmpl,160000
2018,30000,Petrol,Individual,Manual,1,799,53.3,5,25.17,kmpl,335000
2017,80000,Petrol,Individual,Manual,2,1198,67.0,5,20.63,kmpl,329000
2017,75000,Diesel,Individual,Manual,1,1248,88.5,5,24.3,kmpl,775000
2020,32000,Petrol,Individual,Manual,1,1197,81.86,5,20.14,kmpl,524000
2015,40000,Petrol,Individual,Manual,1,796,47.3,5,22.74,kmpl,245000
2012,93000,Petrol,Individual,Manual,2,1197,80.0,5,17.0,kmpl,275000
2018,60000,Petrol,Individual,Manual,1,1193,88.7,5,17.57,kmpl,520000
2008,120000,Petrol,Individual,Manual,2,1248,82.0,5,18.9,kmpl,130000
2014,37000,Petrol,Individual,Manual,1,1498,97.7,5,16.95,kmpl,550000
2018,15000,Petrol,Individual,Manual,1,1497,121.36,5,17.0,kmpl,910000
2015,80000,Petrol,Individual,Manual,1,1198,67.04,5,19.49,kmpl,300000
2016,140000,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,350000
2013,70000,Diesel,Individual,Manual,1,2696,162.0,7,12.83,kmpl,900000
2013,120000,Diesel,Individual,Manual,2,1493,100.0,7,17.21,kmpl,300000
2010,110000,Diesel,Individual,Manual,2,1248,73.9,5,21.1,kmpl,250000
2017,37000,Diesel,Individual,Manual,1,1582,126.2,5,19.67,kmpl,1100000
2016,44000,Petrol,Individual,Manual,1,799,53.3,5,25.17,kmpl,270000
2015,80000,Diesel,Individual,Manual,1,1248,88.76,7,20.77,kmpl,640000
2015,125000,Diesel,Individual,Manual,1,2179,140.0,7,15.1,kmpl,650000
2017,13500,Petrol,Individual,Manual,1,1196,73.0,5,15.37,kmpl,409999
2011,75000,Petrol,Individual,Manual,1,1086,62.1,5,17.92,kmpl,165000
2007,120000,Petrol,Individual,Manual,2,1495,94.0,5,13.2,kmpl,80000
2012,120000,Diesel,Individual,Manual,1,2179,140.0,7,15.1,kmpl,535000
2013,70000,Diesel,Individual,Manual,1,2494,100.57,7,12.99,kmpl,700000
2013,70000,Diesel,Individual,Manual,1,1248,74.0,5,23.4,kmpl,550000
2019,15000,Petrol,Individual,Automatic,1,1199,88.76,5,19.0,kmpl,680000
2009,53000,Petrol,Individual,Manual,2,1197,78.9,5,20.36,kmpl,200000
2014,120000,Diesel,Individual,Manual,2,1248,74.0,5,23.4,kmpl,500000
2016,70000,Diesel,Individual,Manual,1,1248,88.5,7,24.52,kmpl,1000000
2008,120000,Petrol,Individual,Manual,2,1341,82.9,5,14.2,kmpl,110000
2012,100000,Petrol,Individual,Manual,2,1197,80.0,5,18.5,kmpl,320000
2005,110000,Diesel,Individual,Manual,2,1248,82.0,5,20.0,kmpl,75000
2015,100000,Petrol,Individual,Manual,1,1197,83.11,5,20.4,kmpl,350000
2013,162500,Diesel,Individual,Manual,1,1405,70.0,5,19.4,kmpl,170000
2017,39000,Diesel,Individual,Manual,1,1396,88.73,5,22.54,kmpl,800000
2017,75000,Diesel,Individual,Manual,1,1248,74.0,5,26.8,kmpl,500000
2017,50000,Diesel,Individual,Automatic,1,2179,153.86,7,17.6,kmpl,1380000
2019,40000,Diesel,Individual,Manual,1,1497,121.0,8,17.3,kmpl,1300000
2013,92500,Diesel,Individual,Manual,1,1582,126.3,5,22.32,kmpl,530000
2012,158000,Diesel,Individual,Manual,1,1248,74.0,5,23.4,kmpl,360000
2012,120000,Diesel,Individual,Manual,1,1248,73.9,5,19.3,kmpl,310000
2015,50000,Diesel,Individual,Manual,2,1498,98.6,5,26.0,kmpl,725000
2012,110000,Diesel,Individual,Manual,1,1248,73.9,5,19.3,kmpl,340000
2017,2000,Diesel,Individual,Manual,2,1186,73.97,5,25.4,kmpl,550000
2011,181000,Diesel,Individual,Manual,2,2982,171.0,7,11.5,kmpl,1150000
2016,70000,Diesel,Individual,Manual,1,1047,69.0,5,27.28,kmpl,380000
2013,90000,Petrol,Individual,Automatic,2,1498,99.6,5,17.97,kmpl,350000
2019,2000,Petrol,Individual,Manual,1,1197,81.86,5,18.6,kmpl,610000
2015,20000,Petrol,Individual,Manual,1,1197,83.14,5,20.85,kmpl,525000
2011,120000,Diesel,Individual,Manual,1,2494,102.0,7,12.8,kmpl,480000
2017,35000,Diesel,Individual,Manual,1,2498,105.0,6,16.55,kmpl,780000
2012,193000,Diesel,Individual,Manual,1,1248,73.9,5,19.3,kmpl,320000
2014,80000,Petrol,Individual,Manual,1,1197,81.8,5,20.4,kmpl,375000
2019,40000,Petrol,Individual,Manual,1,1198,67.05,5,19.02,kmpl,300000
2015,70000,Diesel,Individual,Manual,4,1396,88.73,5,22.54,kmpl,500000
2011,122358,Diesel,Individual,Manual,1,2179,120.0,9,12.05,kmpl,404000
2015,75000,Diesel,Individual,Manual,1,2956,69.01,7,14.07,kmpl,500000
2017,120000,Diesel,Individual,Manual,1,1047,69.0,5,27.28,kmpl,350000
2015,40000,Petrol,Individual,Manual,1,1193,88.7,5,17.57,kmpl,380000
2008,95200,Petrol,Individual,Manual,3,1495,94.0,5,13.2,kmpl,114999
2014,33033,Petrol,Dealer,Manual,1,1198,86.8,5,19.4,kmpl,335000
2015,63063,Petrol,Dealer,Automatic,1,1197,82.0,5,18.9,kmpl,465000
2012,60000,Diesel,Individual,Manual,1,1248,88.76,5,21.02,kmpl,290000
2005,45000,Petrol,Individual,Manual,2,796,46.3,5,19.7,kmpl,110000
2011,80000,Diesel,Individual,Manual,3,2179,138.1,7,11.57,kmpl,450000
2009,170000,Diesel,Individual,Manual,2,2523,63.0,7,13.6,kmpl,400000
2007,207890,Diesel,Individual,Manual,2,2523,63.0,7,13.6,kmpl,210000
2018,7976,Diesel,Individual,Automatic,1,2143,170.0,5,17.9,kmpl,4600000
2016,35000,Petrol,Individual,Manual,1,796,34.2,8,16.8,kmpl,220000
2017,35000,Petrol,Individual,Manual,1,1197,82.0,5,18.9,kmpl,450000
2013,50000,Petrol,Individual,Automatic,1,1197,78.9,5,16.95,kmpl,290000
2016,20000,Petrol,Individual,Manual,1,1197,81.8,5,20.4,kmpl,520000
2011,20000,Petrol,Individual,Automatic,1,1197,78.9,5,16.95,kmpl,265000
2012,50000,Petrol,Individual,Manual,2,1197,85.8,5,18.6,kmpl,330000
2014,120000,Diesel,Individual,Manual,1,2523,62.1,7,15.96,kmpl,509999
2014,70000,Petrol,Individual,Manual,1,1591,121.3,5,17.1,kmpl,500000
2015,50000,Petrol,Individual,Manual,1,1197,81.86,5,17.19,kmpl,525000
2019,16500,Petrol,Individual,Manual,1,1197,81.8,5,21.01,kmpl,675000
2010,70000,Petrol,Individual,Manual,1,1197,80.0,5,17.0,kmpl,300000
2005,99361,Petrol,Individual,Manual,2,796,46.3,5,19.7,kmpl,90000
2017,25000,Diesel,Individual,Manual,1,1248,74.0,5,26.59,kmpl,650000
2014,70000,Petrol,Individual,Manual,2,1197,85.8,5,19.1,kmpl,409000
2015,80000,Diesel,Individual,Manual,2,1120,70.0,5,24.0,kmpl,395000
2010,70000,Petrol,Individual,Manual,2,1248,82.0,5,18.9,kmpl,215000
2014,70000,Petrol,Individual,Manual,2,1197,85.8,5,19.1,kmpl,400000
2012,60000,Petrol,Individual,Manual,3,1199,79.4,5,18.6,kmpl,120000
2018,10000,Petrol,Individual,Automatic,1,1199,84.0,5,20.3,kmpl,645000
2006,80000,Petrol,Individual,Manual,1,796,37.0,4,16.1,kmpl,81000
2017,30000,Diesel,Individual,Manual,1,1498,97.9,5,25.6,kmpl,1300000
2017,33000,Diesel,Individual,Manual,1,1498,97.9,5,25.6,kmpl,1250000
2013,90000,Petrol,Individual,Manual,3,1373,93.7,7,16.02,kmpl,535000
2014,80100,Diesel,Individual,Manual,2,1461,108.5,5,19.01,kmpl,555000
2014,120000,Petrol,Individual,Manual,1,1497,117.3,5,17.4,kmpl,725000
1983,10000,Diesel,Individual,Manual,3,1248,82.0,5,20.0,kmpl,300000
2016,40000,Petrol,Individual,Manual,1,799,53.3,5,25.17,kmpl,229999
2013,160000,Diesel,Individual,Manual,2,2494,100.6,8,12.99,kmpl,800000
2017,47000,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,409999
2018,25000,Diesel,Individual,Manual,1,1396,88.7,5,21.38,kmpl,1210000
2017,26000,Petrol,Individual,Manual,1,1199,84.0,5,23.84,kmpl,400000
2018,29000,Diesel,Individual,Manual,1,1186,73.97,5,24.0,kmpl,520000
2016,50000,Petrol,Individual,Automatic,1,1197,83.1,5,21.4,kmpl,650000
2011,58000,Petrol,Individual,Manual,3,1298,88.2,5,16.1,kmpl,325000
2012,120000,Petrol,Individual,Automatic,1,1197,85.8,5,17.4,kmpl,420000
2014,50000,Petrol,Individual,Manual,1,1197,81.8,5,20.4,kmpl,400000
2010,80000,Petrol,Individual,Manual,4,1197,80.0,5,17.0,kmpl,254999
2003,60000,Petrol,Individual,Manual,4,993,60.0,5,17.3,kmpl,65000
